Candidate_ID,Stability,Affinity,Solubility,Toxicity,Yield,Immunogenicity,Final_Score,Rank
BIO003,8,7,9,1,7,1,8.149999999999999,1.0
BIO080,9,6,7,3,9,1,7.949999999999999,2.0
BIO037,9,9,7,2,8,9,7.8500000000000005,3.0
BIO008,7,8,3,5,10,1,7.300000000000001,4.0
BIO018,8,7,7,8,10,5,7.199999999999999,5.0
BIO041,9,10,3,7,7,6,7.15,6.0
BIO097,9,5,5,2,7,2,7.1000000000000005,7.0
BIO017,2,10,8,3,10,5,7.1,8.0
BIO023,10,3,9,2,5,4,6.95,9.0
BIO060,10,8,2,1,3,4,6.95,9.0
BIO006,10,5,4,1,7,6,6.8999999999999995,10.0
BIO093,5,8,4,1,8,3,6.85,11.0
BIO029,7,7,10,1,4,10,6.699999999999999,12.0
BIO055,8,9,4,10,8,6,6.6499999999999995,13.0
BIO100,8,6,9,8,3,1,6.6,14.0
BIO044,9,7,8,4,4,10,6.6,14.0
BIO009,8,6,10,7,3,4,6.550000000000001,15.0
BIO082,9,5,6,8,10,8,6.5,16.0
BIO043,10,9,4,4,1,8,6.5,16.0
BIO063,2,9,6,6,10,3,6.45,17.0
BIO050,8,9,1,2,3,5,6.350000000000001,18.0
BIO036,5,10,5,3,1,2,6.3500000000000005,19.0
BIO025,9,1,7,2,10,7,6.3500000000000005,19.0
BIO059,6,10,9,6,2,9,6.35,20.0
BIO078,9,2,3,2,9,3,6.25,21.0
BIO027,10,4,3,1,6,7,6.25,21.0
BIO081,7,7,6,1,4,9,6.2,22.0
BIO064,10,4,3,6,8,6,6.15,23.0
BIO020,2,9,8,2,7,9,6.1000000000000005,24.0
BIO005,7,8,3,3,6,9,6.1,25.0
BIO070,9,2,5,7,9,3,6.05,26.0
BIO045,10,1,6,1,8,9,6.05,26.0
BIO071,8,3,4,4,7,2,6.000000000000001,27.0
BIO096,10,8,1,1,1,9,6.000000000000001,27.0
BIO004,5,7,6,5,5,4,5.95,28.0
BIO066,10,1,4,1,10,10,5.949999999999999,29.0
BIO048,4,9,8,7,1,2,5.900000000000001,30.0
BIO073,2,5,8,4,10,4,5.8500000000000005,31.0
BIO085,8,3,6,7,8,5,5.85,32.0
BIO012,8,3,4,2,9,9,5.800000000000001,33.0
BIO099,9,2,3,9,9,1,5.75,34.0
BIO083,8,1,6,3,5,1,5.7,35.0
BIO021,5,10,1,6,4,4,5.7,35.0
BIO013,8,5,7,9,5,7,5.65,36.0
BIO067,4,10,1,8,10,10,5.55,37.0
BIO098,7,4,6,6,7,9,5.4,38.0
BIO056,4,5,3,6,10,4,5.4,38.0
BIO038,7,5,9,9,5,10,5.3999999999999995,39.0
BIO019,6,7,2,8,5,3,5.3999999999999995,39.0
BIO075,8,8,3,7,2,9,5.3500000000000005,40.0
BIO031,9,4,4,6,4,7,5.3500000000000005,40.0
BIO089,8,6,1,5,4,6,5.35,41.0
BIO068,8,4,4,5,2,3,5.3,42.0
BIO024,6,7,2,10,7,5,5.299999999999999,43.0
BIO061,4,6,2,4,7,4,5.25,44.0
BIO022,1,10,9,7,1,5,5.25,44.0
BIO094,10,1,3,10,7,3,5.1499999999999995,45.0
BIO069,7,7,1,5,3,7,5.1,46.0
BIO054,2,8,8,9,1,1,5.05,47.0
BIO049,7,4,4,2,1,5,5.0,48.0
BIO035,7,2,5,10,10,7,5.0,48.0
BIO015,6,1,9,6,4,3,4.999999999999999,49.0
BIO077,9,1,1,4,4,1,4.95,50.0
BIO095,7,6,1,10,5,4,4.95,50.0
BIO076,10,1,1,8,8,7,4.8,51.0
BIO092,1,7,3,5,7,4,4.8,51.0
BIO040,4,4,3,10,8,1,4.75,52.0
BIO086,8,2,8,10,3,6,4.75,52.0
BIO001,7,2,6,5,5,9,4.7,53.0
BIO028,3,5,7,8,5,5,4.699999999999999,54.0
BIO030,4,7,9,9,2,10,4.699999999999999,54.0
BIO032,3,7,1,7,10,10,4.65,55.0
BIO088,1,10,5,10,3,5,4.65,55.0
BIO053,4,6,6,3,1,8,4.6499999999999995,56.0
BIO065,2,1,9,5,10,7,4.6,57.0
BIO026,1,4,10,10,10,9,4.55,58.0
BIO062,6,8,2,10,1,6,4.55,58.0
BIO033,5,3,2,10,10,5,4.5,59.0
BIO010,5,3,3,1,5,9,4.4,60.0
BIO074,5,1,7,3,5,8,4.3999999999999995,61.0
BIO039,2,6,9,8,4,10,4.35,62.0
BIO051,3,3,8,7,5,6,4.35,62.0
BIO052,1,7,4,6,3,3,4.35,62.0
BIO047,2,9,1,3,3,10,4.249999999999999,63.0
BIO046,5,1,8,8,2,2,4.2,64.0
BIO011,4,1,3,3,6,3,4.199999999999999,65.0
BIO007,3,3,4,4,3,3,4.05,66.0
BIO034,3,6,1,7,3,3,4.05,66.0
BIO090,3,7,1,7,2,5,3.9499999999999997,67.0
BIO072,5,1,8,6,4,10,3.9000000000000004,68.0
BIO058,6,3,3,10,3,7,3.6500000000000004,69.0
BIO016,5,5,1,10,5,10,3.6,70.0
BIO042,2,7,3,9,2,7,3.6,70.0
BIO057,2,1,9,10,2,1,3.4999999999999996,71.0
BIO091,3,4,5,9,1,5,3.45,72.0
BIO087,3,5,2,5,1,10,3.15,73.0
BIO014,3,3,4,10,1,4,3.0500000000000003,74.0
BIO084,1,1,3,10,9,6,2.9,75.0
BIO002,4,1,1,8,1,1,2.8499999999999996,76.0
BIO079,1,2,6,10,5,9,2.7,77.0
